Name,Price,Rating,Link,Image
Air Force SB DUNK SNEAKERS,2944,No Ratings,https://www.jumia.co.ke/air-force-sb-dunk-sneakers-286425792.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7524682/1.jpg?1467
Air Force FASHION AF1 CHUNKY LACES KID'S,2944,No Ratings,https://www.jumia.co.ke/air-force-fashion-af1-chunky-laces-kids-280095661.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/6590082/1.jpg?8716
Air Force FASHION MEN'S SNEAKERS,3799,No Ratings,https://www.jumia.co.ke/air-force-fashion-mens-sneakers-283374257.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/2473382/1.jpg?7031
Air Force Airforce 1 low Nola,3499,No Ratings,https://www.jumia.co.ke/air-force-airforce-1-low-nola-285238172.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/1832582/1.jpg?0618
Air Force FASHION MEN'S SNEAKERS,3799,No Ratings,https://www.jumia.co.ke/air-force-fashion-mens-sneakers-283374259.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/2473382/1.jpg?7031
Air Force FASHION CACTUS JACK AF1 SNEAKERS,3324,No Ratings,https://www.jumia.co.ke/air-force-fashion-cactus-jack-af1-sneakers-280222360.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/3222082/1.jpg?3137
Nike Airforce 1,3500,No Ratings,https://www.jumia.co.ke/nike-airforce-1-288490642.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6094882/1.jpg?6544
Men's new spring sports and leisure Air Force One basketball flat shoes,5832,No Ratings,https://www.jumia.co.ke/generic-mens-new-spring-sports-and-leisure-air-force-one-basketball-flat-shoes-174652477.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/4256471/1.jpg?3820
"Airforce 1, Black",3399,No Ratings,https://www.jumia.co.ke/generic-airforce-1-black-286252748.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/7252682/1.jpg?0534
"Air ALL WHITE , WHITE LACE AIRFORCE 1",3500,No Ratings,https://www.jumia.co.ke/air-all-white-white-lace-airforce-1-285628033.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/0826582/1.jpg?9635
Fashion AIR FORCE 1,3499,No Ratings,https://www.jumia.co.ke/fashion-air-force-1-285674384.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3476582/1.jpg?2192
Fashion 36Colors Flats Shoes For Air Force Tennis Shoe S Sneaker White BlaCanvas Men Women Shoe Basketball Shoes Strings,2515,No Ratings,https://www.jumia.co.ke/fashion-36colors-flats-shoes-for-air-force-tennis-shoe-s-sneaker-white-blacanvas-men-women-shoe-basketball-shoes-strings-160416458.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/4614061/1.jpg?9982
Fashion Air Force 1 Nola,4140,No Ratings,https://www.jumia.co.ke/fashion-air-force-1-nola-294401329.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/3104492/1.jpg?4678
Fashion Increased Air Force Shoes Men's Casual Sneakers Allmatch Trendy Men,4334,No Ratings,https://www.jumia.co.ke/fashion-increased-air-force-shoes-mens-casual-sneakers-allmatch-trendy-men-206887697.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/6788602/1.jpg?8059
Nike New Black Airforce 1s Original,3999,No Ratings,https://www.jumia.co.ke/nike-new-black-airforce-1s-original-295846991.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/9648592/1.jpg?2045
Fashion Airforce white sneakers,3000,No Ratings,https://www.jumia.co.ke/fashion-airforce-white-sneakers-297421336.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/3124792/1.jpg?7658
Fashion Airforce sneakers,3000,No Ratings,https://www.jumia.co.ke/fashion-airforce-sneakers-297420997.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/9024792/1.jpg?6759
Fashion US Air Force One Mens Baseball Cap Airsoftsports Tactical Caps Navy Seal Dark C,792,5 out of 5,https://www.jumia.co.ke/fashion-us-air-force-one-mens-baseball-cap-airsoftsports-tactical-caps-navy-seal-dark-c-152729860.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/8927251/1.jpg?9734
2022New AF1/AJ Nik Air Force One Shoelaces For Sneakers,1750,No Ratings,https://www.jumia.co.ke/generic-2022new-af1aj-nik-air-force-one-shoelaces-for-sneakers-291657135.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/1756192/1.jpg?1876
Fashion 36Colors Flats Shoes For Air Force Tennis Shoe S Sneaker White BlaCanvas Men Women Shoe Basketball Shoes Strings,2515,No Ratings,https://www.jumia.co.ke/fashion-36colors-flats-shoes-for-air-force-tennis-shoe-s-sneaker-white-blacanvas-men-women-shoe-basketball-shoes-strings-160612957.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/9216061/1.jpg?2195
Fashion Increased Air Force Shoes Men's Casual Sneakers Allmatch Trendy Men,2620,No Ratings,https://www.jumia.co.ke/fashion-increased-air-force-shoes-mens-casual-sneakers-allmatch-trendy-men-257717431.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/4717752/1.jpg?9649
Increased Air Force Shoes Men's Casual Sneakers Allmatch Trendy Men,41145,No Ratings,https://www.jumia.co.ke/generic-increased-air-force-shoes-mens-casual-sneakers-allmatch-trendy-men-212567635.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/6765212/1.jpg?9068
Air Force No. 1 Shoelace Af1 Flat Ai White Cotton Lace Men's and Women's High and Low Upper Belt Metal Plate Original Quality C,2937,No Ratings,https://www.jumia.co.ke/generic-air-force-no.-1-shoelace-af1-flat-ai-white-cotton-lace-mens-and-womens-high-and-low-upper-belt-metal-plate-original-quality-c-172031666.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/6130271/1.jpg?2414
2022New AF1/AJ Nik Air Force One Shoelaces For Sneakers,1851,No Ratings,https://www.jumia.co.ke/generic-2022new-af1aj-nik-air-force-one-shoelaces-for-sneakers-214339794.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/7933412/1.jpg?7326
Fashion 1Pair 36colors Air Force One Flats Shoes Classic Shoe S Sneaker White  Sports Men Women Children Shoe Casual Strings,2916,No Ratings,https://www.jumia.co.ke/fashion-1pair-36colors-air-force-one-flats-shoes-classic-shoe-s-sneaker-white-sports-men-women-children-shoe-casual-strings-160444515.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/5444061/1.jpg?0008
Fashion 1Pair 36colors Air Force One Flats Shoes Classic Shoe S Sneaker White  Sports Men Women Children Shoe Casual Strings,2916,No Ratings,https://www.jumia.co.ke/fashion-1pair-36colors-air-force-one-flats-shoes-classic-shoe-s-sneaker-white-sports-men-women-children-shoe-casual-strings-160587452.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/4785061/1.jpg?6024
2022New AF1/AJ Nik Air Force One Shoelaces For Sneakers,2041,No Ratings,https://www.jumia.co.ke/generic-2022new-af1aj-nik-air-force-one-shoelaces-for-sneakers-292369023.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/0963292/1.jpg?8821
36Colors Flats Shoelaces For Air Force Tennis Shoe Laces,1478,No Ratings,https://www.jumia.co.ke/generic-36colors-flats-shoelaces-for-air-force-tennis-shoe-laces-214107865.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/8701412/1.jpg?3443
Fashion 1Pair 36colors Air Force One Flats Shoes Classic Shoe S Sneaker White  Sports Men Women Children Shoe Casual Strings,2916,No Ratings,https://www.jumia.co.ke/fashion-1pair-36colors-air-force-one-flats-shoes-classic-shoe-s-sneaker-white-sports-men-women-children-shoe-casual-strings-160452080.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/0254061/1.jpg?6233
Fashion Men's New Spring Sports And Leisure Air Force One Basketball Flat Shoes Beige,4061,No Ratings,https://www.jumia.co.ke/fashion-mens-new-spring-sports-and-leisure-air-force-one-basketball-flat-shoes-beige-260249289.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/2942062/1.jpg?0757
Fashion Generic Increased Air Force Shoes Men's Casual Sneakers All-match Trendy Men,3275,No Ratings,https://www.jumia.co.ke/fashion-generic-increased-air-force-shoes-mens-casual-sneakers-all-match-trendy-men-260250375.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/3052062/1.jpg?1651
Men's New Spring Sports And Leisure Air Force One Basketball Flat Shoes,3757,No Ratings,https://www.jumia.co.ke/generic-mens-new-spring-sports-and-leisure-air-force-one-basketball-flat-shoes-278583592.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/5385872/1.jpg?1545
Fashion 36Colors Flats Shoes For Air Force Tennis Shoe S Sneaker White BlaCanvas Men Women Shoe Basketball Shoes Strings,2515,No Ratings,https://www.jumia.co.ke/fashion-36colors-flats-shoes-for-air-force-tennis-shoe-s-sneaker-white-blacanvas-men-women-shoe-basketball-shoes-strings-160611430.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/4116061/1.jpg?2002
Fashion 1Pair 36colors Air Force One Flats Shoes Classic Shoe S Sneaker White  Sports Men Women Children Shoe Casual Strings,2916,No Ratings,https://www.jumia.co.ke/fashion-1pair-36colors-air-force-one-flats-shoes-classic-shoe-s-sneaker-white-sports-men-women-children-shoe-casual-strings-160436566.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/5634061/1.jpg?9991
Men's new spring sports and leisure Air Force One basketball flat shoes,5832,No Ratings,https://www.jumia.co.ke/generic-mens-new-spring-sports-and-leisure-air-force-one-basketball-flat-shoes-174652582.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/5256471/1.jpg?3817
Fashion 1Pair 36colors Air Force One Flats Shoes Classic Shoe S Sneaker White  Sports Men Women Children Shoe Casual Strings,2916,No Ratings,https://www.jumia.co.ke/fashion-1pair-36colors-air-force-one-flats-shoes-classic-shoe-s-sneaker-white-sports-men-women-children-shoe-casual-strings-160611994.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/9116061/1.jpg?2216
Fashion Increased Air Force Shoes Men's Casual Sneakers Allmatch Trendy Men,3406,No Ratings,https://www.jumia.co.ke/fashion-increased-air-force-shoes-mens-casual-sneakers-allmatch-trendy-men-260250401.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/4052062/1.jpg?1652
Shoelace Air Force No. 1 Board Shoes Extra Thick Thread Strand Rope round Shoelace Sports Series Color Shoe Rope,2937,No Ratings,https://www.jumia.co.ke/generic-shoelace-air-force-no.-1-board-shoes-extra-thick-thread-strand-rope-round-shoelace-sports-series-color-shoe-rope-213745971.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/9547312/1.jpg?1650
Fashion Increased Air Force Shoes Men's Casual Sneakers Allmatch Trendy Men,10251,No Ratings,https://www.jumia.co.ke/fashion-increased-air-force-shoes-mens-casual-sneakers-allmatch-trendy-men-246231120.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/1132642/1.jpg?3031
Men's New Spring Sports And Leisure Air Force One Basketball Flat Shoes,3757,No Ratings,https://www.jumia.co.ke/generic-mens-new-spring-sports-and-leisure-air-force-one-basketball-flat-shoes-278581856.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8185872/1.jpg?1230
